,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
43,Repe,1LQX3VSrsQh0AomLSSQQ0j,rock,track,La Mano,2000,4JY9zmLKZT5mbuhvvDrh5b
44,Asa Brebner,6V4uqBVnVdnDc6tWYF8vck,rock,track,Unhappy Birthday Girl,2000,0Uwi5uP6UYBhjBVBDJi3rH
45,The Searchers,4QmkLL9JOqM9dusHS1Hghe,rock,track,You Can't Lie to a Liar,2000,2ssUCraVBNZEFB0TghN00N
46,Bob Karwin,3Fat9uTejXtMkTkgDx4Dga,rock,track,Ignorance,2000,7IvDCCR4fYIKlQOgNri5Eo
47,Plastiko,5lSJ2p4XexDs3wyYhH7c7L,rock,track,Que Se Sienta,2000,4fr05zoQUgz2VUL3Ijpq3n
48,Atrocity,050NpEYZ5xFUS1BOAZjVmX,rock,track,Taste of Sin - Slam Bam Remix,2000,5fW7oPRNuxEvEsZwOka3yN
49,Birth Control,69wYvVWNm68Vrndzw0GZgR,rock,track,The Work Is Done,2000,1hE3z8PX7Bf0Jc1qb4sofd
50,Miquel Pujadó,6MOD9zjjBITsJ5MHEmJpRG,rock,track,Somriures Que Mosseguen,2000,42EhhG8Bzqom639UvpzAzC
51,Dan Toren,285uARLcuYJ5SqmbGnJuRl,rock,track,אמיתי וטעים,2000,4J7H2FoTXp3Z0s6ujeaBOE
52,John Wetton,0rk01XEfDhJhnBFp0LT1HQ,rock,track,Only Time Will Tell - Live,2000,6dcvYQ68vmJRBChRHlk5KU
53,Delinquentes,4gO3DqPa8ctWYIXOHux2Gq,rock,track,Tribos,2000,66esbuZdNCgmRtDJ7KLVk0
54,Tommy Steele,2eUMWLKLpPyMWuTgoMgEG6,rock,track,Hiawatha,2000,2T8S8qMehDS3v5iAAVGoDC
55,Carptree,4StWYdyiHiVl3cJVixlxPy,rock,track,Together alive,2000,34x11H6xH0LiyGTUs3j3GZ
56,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,rock,track,Цыганка с картами…,2000,5VgCCv8t3K77vukCFMLv7s
57,Red Cardell,2g7t7RjsnmhA6WfB6fq90u,rock,track,Péplum,2000,3VZhfc5JvUrKorDXxO1VY9
58,Zvuki Mu,7cZCHoW0UAnBmecxXMQycM,rock,track,Бронепоезд,2000,26iCg39bfwhX4fu1QTr2wx
59,Sol D' Menta,3M7TZ0B7GuHjAb8KqBY968,rock,track,Perro Callejero,2000,0CYl4r1RVFsulsOABB6hXr
60,Derrick Morgan,2RM3xqQNdhZknQBsyQl3ZM,rock,track,Travel On,2000,0n111DRgGW5Pu0pRw4uPqD
61,The Diamonds,3s9kaLrpplvv4vIzZBYPga,rock,track,One and Only,2000,2xnDJ5mn9RqeewSvTfLKt6
62,Albert Hammond,34E3csCxpXunPGEkOVVX2g,rock,track,The Free Electric Band,2000,4J88ldoeHiPMaFqjIH6OKA
63,Boo!,39dPrvOQpekY24oOeKGYlq,rock,track,Blêrrie Hunter - 4,2000,26sCW6T8ZxMHN7mmmJYwB8
64,Joe Bennett,4kcy0Kk127TBaKMiDD34Ct,rock,track,Last Night I Dreamed Of New Orleans,2000,1pyABWGTiT5kCkOKhnCEE7
65,Birth Control,69wYvVWNm68Vrndzw0GZgR,rock,track,Jungle City,2000,1IKUStVKbUBT5ZlNfaA0BV
66,Too Tall Jones,34bMYSqnGlsJvdUlMUgD3j,rock,track,I Died in Rock and Roll,2000,5OiM6aV2FdPj9uMhibZojP
67,Liaison,5LhQG6vFPpJRqpG5geRcE3,rock,track,Le gout la vie,2000,4yp4Xuv2I0zMSriL1eAKSX
68,Snog,7ebUI6NYL5xuA5G81lE2CL,rock,track,Real Estate Man-1 - Ubin Offer Affordable Solutions,2000,31q1MHCW6NWWwi2Z6qVMlL
69,МультFильмы,7EyMDLmjfGiwLlxqiVXCBK,rock,track,StereoСигнал (ET Mix),2000,34l3lqLMMAn10YHchJaWSV
70,Sugar Minott,6iTD167bhyfYwEd7fd2bGn,rock,track,What Goes Around Comes Around,2000,69HlOUQuqtzjvzdXvGEAxN
71,Siakol,3l9mRJIGzW7RrEE2H8Ldvq,rock,track,Wala - Minus One,2000,2ipyX0RrOEgOpyBkj3ZBZq
72,John Holt,312pFk2xpEwYWLGPehc4Nu,rock,track,All the Love I've Got,2000,6iChZry7JM8IdMapusku2C
73,Wraygunn,0VOVV9sfnFMwhYWNX9mMHa,rock,track,Lust,2000,2XHPM3yEcNUGCnqLkAD8Sx
74,Jamrud,5lk9qdr0u90LwpeyZH8ib0,rock,track,Otak Kotor,2000,3qkv7Y8AWGBIjuATJ7QmNf
75,Kind Of Blue,6mFwMkTXmRlflncPi3huai,rock,track,The Great Big Feeling,2000,0n5uEHIMIfm0flgVxgEd3f
76,Oskorri,4gmiT7yNuaHkQIAVTXPGwP,rock,track,Galai bat etorri zait - Instrumental,2000,3oWwowbey7PslfVfJXH9Ri
77,Monna Bell,2aJtGPY592hgmkGzD9oleC,rock,track,¿Qué haces tú? (Fox-Swing) - Remastered 2015,2000,7HrW2OaxlD9tAX3NRykgg0
78,Autour de Lucie,0IVSAGNJsY7HDhGlV1gghJ,rock,track,Chanson de l'arbre,2000,2pxHpWelqg7FC9UtaJOUdG
79,John Holt,312pFk2xpEwYWLGPehc4Nu,rock,track,We Are Grooving Together,2000,4UEexI5WdcaBgCmEIgOQux
80,Isis,1LONEO5qtKtO4HqMcc4OpC,rock,track,Around a Roundabout,2000,3iGnDo4GmIrocMgbW65uyS
81,George Jones,2OpqcUtj10HHvGG6h9VYC5,rock,track,We'll Understand It,2000,6rwMzKkqqeytNb9qL3AcGd
82,Bill Justis,0z16OEWcUEFzMRWBOGyOcF,rock,track,Raunchy,2000,44MYSEr4UhFBqkJX8oLtjR
83,Ho-Hum,0m2S5Mo14Pd35UCvD5Wzi6,rock,track,Take It Home,2000,7dhSVIVmKAz9vd9SRHmERK
84,Testeagles,74X9BDo427GwNtdOjmirdA,rock,track,B-Sting - Live,2000,2Cab4QI0M01qrDu5psplbH
85,Anthony B,7Lij2ZLJJQOfGojVR3Wmqa,rock,track,Nah Vote Again,2000,6UIFC7MgtxN9SSvvHirzsf
86,Spahn Ranch,4MGthkM13PyNgf5CJgIEKj,rock,track,Peel,2000,6CEXaCJOhZvT9NmGPqHSxp
87,Vrooom,7t32Dj2uZZF3WguWCvBhcV,rock,track,Wedding,2000,5GL0gfbitkwqPROUddczjG
88,Código Zero,2gEznpWJ42VS29wK71wmKq,rock,track,Adicto de Tu Voz,2000,0EKcTC6Ut6bnqqqC0eXW7a
89,Steevi Jaimz,79M2KGgLDjZEDAxttAwExT,rock,track,Talk of the Town,2000,6iDuYP8RNoCzUxa89PuQTE
90,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,rock,track,Нас не нужно жалеть,2000,3gWhK7C8oVXMwU2RNib7jN
91,Quarkspace,1mcRbMKJqBpzGfASjPBisi,rock,track,Bonzo's GSB,2000,4sEbNo3CYihj6mqQUMe4jc
92,Jorge Calleja,5ahnFRe92QQTVOVvaT9PNv,rock,track,En ese camino empedrado: III. …y pare a esa mula,2000,2mai8PWqcv3LoclxX5rF7g
93,Freddy Cannon,1ffNa7yLg0ncUpBm5P03pm,rock,track,Muskrat Ramble,2000,5anGCVibixQHQFPix9xFbU
94,Steve Archer,0xTRrVwxWgdgqFSGnFneBV,rock,track,White Christmas,2000,7zs2NfFqqRm1G4UZW5ghH0
95,Karina,7kL7lbaqaHIUB3Ol5YU69a,rock,track,"En un Mundo Nuevo - De : ""En un Mundo Nuevo - 1972",2000,7EjKtRMUWQvYPdRiW1ILtX
96,NLF3,4Zaqwc3e3h2RB5XrBX5rPT,rock,track,2.5,2000,0TwiC1U7Nl4nALXea0IdtZ
97,Testeagles,74X9BDo427GwNtdOjmirdA,rock,track,Agent 99 - Live,2000,6PwZ00Qhn8EypZi7swD5Ia
98,Buck Owens,2FMZn5P3WATd7Il6FgPJNu,rock,track,Tired Of Living',2000,2cjpZ1ZwmBM02O6b4B8v38
99,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,rock,track,Мы верные испытанные кони…,2000,6rvYinP1cEAxPl5PzInNqi
100,Terry Noland,7ennrcRfXOBZKLkKcH4S6R,rock,track,Let Me Be Your Hero,2000,0XqbACSxz52mDt16Jc20f0
101,Quarkspace,1mcRbMKJqBpzGfASjPBisi,rock,track,D.O.B.H. #1,2000,0XqqGbeZCIZy7nvCx81UZM
102,Brenda Lee,4cPHsZM98sKzmV26wlwD2W,rock,track,Rockin' Around The Christmas Tree,2000,5VtwsWUCoV905CaSElTlIp
103,Shidee,5fqQEqclaWGkm1RI1GZTQJ,rock,track,Selamat Tinggal Kekasih,2000,5wRQu3rN4XxFPrDyTAIuIs
104,Jan & Dean,0pqGj6vO9YHsXuZmaJaP2Y,rock,track,Barbara Ann,2000,11kjgMSsPRV79x2LGmIaJg
105,Afroditi Manou,07OxvqfNqY6diXsGeVWVkA,rock,track,Hameni Zoi,2000,7zQENXeuaOVZqQCfLETXNG
106,Snog,7ebUI6NYL5xuA5G81lE2CL,rock,track,The Last Diamond - Xingu Hill Slices the Soft Earth,2000,69HaRcHLV8ivsOYRALYpRl
107,Niños Mutantes,1ysmkH7bwM193VEqdtwgfn,rock,track,Florecer,2000,1sYdMzwyIw4xm8ZkTxtCeS
108,Gilad Kahana,4hF3Jg1HZqfV8e5xvbgPvm,rock,track,מלחמה וחזון,2000,1SYceipPNrEzuKlmg13Co2
109,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,rock,track,"На Колыме, где север и тайга кругом…",2000,75cEPEYeYTJVSZDxUDBZ1i
110,Pleasurehorse,2ftPsriLNir8FcqqzppXLF,rock,track,Re: Vip,2000,63sSEL83LNaEARyn2YygpQ
111,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,rock,track,Go Go Go,2000,0WjBarf12B3TWiHiMcViMH
112,Raimon,53gngrNkCMQim2Fg4qbHZm,rock,track,Petita Cançó de la Teva Mort,2000,3JDDdhsWhpiFqN51ZpRnKx
113,Ruxe Ruxe,1YFrhov5H4KBd13rWQvzpe,rock,track,Come On Carolina,2000,2IcJQpfzTlbzAQIrljc3Bk
114,Hayden Thompson,2n4u9CWqXeYdpW9Zct4hmk,rock,track,One Broken Heart,2000,5V8jTnDDqa1GokbAp6Vx6R
115,Marcio Mello,7Ht1ZShcwdYSjkhB111b7s,rock,track,Tonelada de amor,2000,1E1fpKSxtrenGoAH60m1n9
116,Hljómar,2BXEG2yarazI9hY5ZsHJaQ,rock,track,Þú og ég,2000,4eVALejrw9sjBuaVeYzK4m
117,The Oak Ridge Boys,3XnO697XIus1M0cMuxZjos,rock,track,I Know,2000,2BqTogyaOgmYGFAEDCqmEO
118,Miquel Pujadó,6MOD9zjjBITsJ5MHEmJpRG,rock,track,La Senyora Cançó,2000,0EQ1RtYnCXyyJeoFoeM8Xc
119,Siakol,3l9mRJIGzW7RrEE2H8Ldvq,rock,track,Magsaya - Minus One,2000,6RzUcL254N2h1rWypj00Dq
120,Veljo Tormis,0Idpvxe8nO6ZOciUbB5eSa,rock,track,Jõulud tulevad (Christmas Is Coming),2000,6VfBIV4ZmUA3ifeblhedcC
121,Giorgio Gaber,7sjeFi52xnDK82OfIhUOqU,rock,track,Benzina E Cerini,2000,7D8Bkt5IoBKSWXbxy5Gauz
122,Emile Ford & The Checkmates,2qyvlQ4Ku5zc2mk4pYamzC,rock,track,Afraid,2000,12eTxHDuAE4g5mau9KShxc
123,Владимир Высоцкий,6hKLYGlOtGVNzZUuvS99Nw,rock,track,"Из поэмы ""Оза""",2000,7dvyT1f9r6BeDxAYR9QZbJ
124,Lew Jetton & 61 South,7KwDJYTtPJaGVd03idY8Uo,rock,track,House Cat Blues,2000,6rbBz0XL07YN9wlJad35JX
125,Johnnie Ray,6SQKNCUKIWjR1pQ1U3PZZq,rock,track,Everyday,2000,06bNg1A1lXZPjMAf7hTTjs
126,Toto Blanke,4YkKqol5hpLQs92oTF7UZo,rock,track,San Ignacio,2000,5cxkajsniQyY0Hh0PcARBL
127,John Holt,312pFk2xpEwYWLGPehc4Nu,rock,track,Wolf & Leopard,2000,0UHi8d99HwnlLM0YCtXPWv
128,Marty Wilde,49Jb7NSMLFMM3n8M7BNRxN,rock,track,Are You Sincere,2000,6gXGancTYiYOGjqaRvUQ8z
129,The Original Turtle Shell Band,7atdiQyw50aBNCzd2pVjUz,rock,track,Hie a Bie,2000,5mD9tPu3vpDGb1Cths16NK
130,The Sounds,0W2XAE5AnBWqcGNhfupEOU,rock,track,So Unnecessary,2000,52H63rsv9wvlqfUUaIdZea
131,Blast Off,1OO0MeY4VnAUPG0qXVNTRV,rock,track,You Cant Avoid the Past,2000,6pq1i75vU1acRKmMtoKC4o
132,Emile Ford & The Checkmates,2qyvlQ4Ku5zc2mk4pYamzC,rock,track,I Wonder Who's Kissing Her Now,2000,36XEMQf4TwRgBxSSp24uMQ
133,Riesgo de Contagio,5xwNWlB2SB0yzaAQOgcysm,rock,track,Congelada - En Vivo,2000,0kA2BU3WgOfp0UBex8ig4p
134,Ovidi Montllor,3GBaJmaRSCLv9DZXo5tgRL,rock,track,La fàbrica paulac,2000,2r3pk7u6hsQcowE5maasMf
135,Tequila Baby,2PpPgzTMMJEEhJuTwvOTIg,rock,track,Quando Eu Entrar Na Sua Vida - Ao Vivo,2000,0ppM1dnyw2tyZt2F5SPwFH
136,Jet Boys,3at7rmnXxlfkIM1Nd6t6Qv,rock,track,Ready Jet Go !!,2000,0t8D9Pg2t56Do2HjxnlOcJ
137,Sheena Easton,5dcOK4stT4JDkP6Dqhbz5s,rock,track,Get Here To Me,2000,6KaTTpXh2I0oS2Zb3OS3Uq
138,The Ancient Gallery,1w44KUBCmMhtj4MejBsapR,rock,track,Durch,2000,7tJhImAKRUVBFriLsumt11
139,Okay Temiz,6yajM6C42NTolTtmV0q2cq,rock,track,Radop Dağları,2000,5tJqeoN0kRaZNxRSL1VD37
140,Max Lorentz,7KC0RyuGipafI3CZQMXN6d,rock,track,Ordinary Man (bonus track),2000,4lQLn7A0FAd29RGFfMiwS4
141,Hell On Wheels,5EQgKyaGRyS8kb97EKWHqu,rock,track,The Reign Of Someone Elses UFO:s,2000,7fFRk6tFumjqqLflIQv47r
142,Mechanics,1g8prfVCYNgqM9kSnHkLOw,rock,track,Synthetic Space Invader,2000,2v3q1j2n7UFlzHgWOt82DZ
143,Glen Campbell,59hLmB5DrdihCYtNeFeW1U,rock,track,Guitar Child,2000,083TKYKJipOjbjb8Z9n7SO
144,Björgvin Halldórsson,0bPOOMpOPbgBrsOrt1Sfvi,rock,track,Svo koma jólin,2000,0CXcODlHuVnWatm52wtQOV
145,Delinquentes,4gO3DqPa8ctWYIXOHux2Gq,rock,track,A Fábrica,2000,0QoW1x30p3VcmJ8fuqBUjG
146,Toni Dimitrova,1PXfmxVOhU4tXzDmmdziKV,rock,track,Молба,2000,6GDos2Bp1HlxxmI6wgK3QB
147,Bobby Darin,0EodhzA6yW1bIdD5B4tcmJ,rock,track,Baby Born Today,2000,6DHhpPzediUv9CVIhCUBWV
148,Kirka,1RJAalQs0oU7mC5krUYvrO,rock,track,Pikku Elvis,2000,6EMrdOfjGeVbKywqwYa7Rk
149,The Searchers,4QmkLL9JOqM9dusHS1Hghe,rock,track,Glad All Over - Mono,2000,5gIA5oWcSJfLBo10FAbf40
150,Cliff Richard & The Shadows,4IdvJZeciaa37wYr2qBpjm,rock,track,Lamp Of Love,2000,5joYUSlNIzcaotz1TS32Ps
151,Rantés,7bSngAID20GjseBFJNUUav,rock,track,Eras Tú,2000,462891OQMEvIUP9eEl18Kc
152,LZ,0LzxDZGNAOwwmaxkbCZsb0,rock,track,Ако те погаля,2000,5TxI1pvPjwzpVns2ceXy7P
153,Mc Mabon,4LNSdaoeQ1A9vghBUxXX0X,rock,track,Helynt Y Dannodd Annodd,2000,0MmLDBp7luvFOyeO1pN7tf
154,Marvin Rainwater,0io243tshqbvutIxj44rMy,rock,track,Dem Low Down Blues,2000,4QidKGOeYI30stycmCe0Fc
155,Delinquentes,4gO3DqPa8ctWYIXOHux2Gq,rock,track,Ficção,2000,7GK8b0yLa7m6XWDO1LTFAx
156,John Holt,312pFk2xpEwYWLGPehc4Nu,rock,track,How Could I Live,2000,4NXiyLjPIFxL8i134Vj4Jx
157,The Searchers,4QmkLL9JOqM9dusHS1Hghe,rock,track,Bumble Bee,2000,4ypcOzhWp9aLQFdsrWTDIm
158,Liaison,5LhQG6vFPpJRqpG5geRcE3,rock,track,Femme bagatel,2000,5U7o9ldoeADMFBCZD1J1AV
159,Quilapayún,76sZcEL2ZXBTqNeFJAhlup,rock,track,Temporada,2000,2vc8Bh0kmLgEYK9TcS8prd
160,Riesgo de Contagio,5xwNWlB2SB0yzaAQOgcysm,rock,track,Martínez - En Vivo,2000,6de1ui8dqK4PBFE8zmSqa0
161,Bobby Rydell,4hJTgr1adnhIkhmD9jLzd6,rock,track,The Birth Of The Blues,2000,0wKj7v3d6VkNdT53PsVNj3
162,The Aviators,6DovHwQ7pFQe9riqJxI2Np,rock,track,Never Till Now,2000,0tQddC1ko1kHABd9dWty0l
163,Panta Rhei,48id9frErp8fSAaDLWc8I6,rock,track,Finis,2000,2R1RlN24qHLw4rxm5hX2Y8
164,Okay Temiz,6yajM6C42NTolTtmV0q2cq,rock,track,Folk Song,2000,6hr8nozInbhQ4VNqRVloWZ
