,artista,id_artista,genero,tipo,nombre,anio_lanzamiento,id
42,DJ Bomberjack,0Na7Qy0OzLwdeK6vGxPO3G,hip-hop,track,Johnny Def,2000,3FTvNHfpdmJ75Wc99xE1Nn
43,CAS,7sDHWFJ43ZdXSLXqQTodkW,hip-hop,track,Sort På Hvidt feat. Cas,2000,4ivqMbxdx2sp6khhPCAjMa
44,Free Radicals,7sAhxNSWgRi4jjdkZsz8by,hip-hop,track,Musafir Wapas,2000,7eU7bLRfHufoIMEmIOHwQf
45,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,hip-hop,track,Fick uns,2000,3nIKXtY5e9PNeTRu7TotRI
46,Don Pini,4Rcf2vegYKYRRtwTE3HvWt,hip-hop,track,For My Best Hermano,2000,1CV2ilhrKz7HmnCtTATlao
47,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Downfall,2000,6h9r6ggJAO1WaFaeqXB4AF
48,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,hip-hop,track,Shake Your Pants,2000,3ZlSpC1NFNnvQBUK48DUAj
49,C-Bo,1zrMGaRSRvx67vF4xzvUcu,hip-hop,track,Get the Money - Radio Edit,2000,0VD3swAcTiAo2fmsjsSCiQ
50,Free Radicals,7sAhxNSWgRi4jjdkZsz8by,hip-hop,track,Ganga Kit Laharen,2000,3CumhRg2ex07kuEfvszfiQ
51,Cali Agents,5lUJxGxTTkeRC5xAouxIe4,hip-hop,track,Faces of Death,2000,7EErqBoKLOmtDJV0SWMKrf
52,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,hip-hop,track,Eon Skit,2000,7qSb1BeSOkURDwFsJsnntv
53,MV Bill,4oE4ASN8auDhoW9vsXp3VJ,hip-hop,track,A Noite (Noturno Mix),2000,409LRtH4nLY3qOBI2q9Www
54,45 King,5g41NCgZ70kV1xXoSYoL8f,hip-hop,track,Volume,2000,4cYC5VY39JuMIlXZ4d8vwV
55,Kalash,3J7r4VsNmuWixU0nXvyPd8,hip-hop,track,"Freestyle, pt. 15",2000,5oLuyVxXXAbNoxjFIGIjRh
56,Mc Mabon,4LNSdaoeQ1A9vghBUxXX0X,hip-hop,track,Aros Am Bysus A Trenau,2000,0vI6gTJ1KX8dCJ7PiopEFH
57,South Park Mexican,4kKaAWGdu6WW0W415RWaQA,hip-hop,track,Somethin' I Would Do,2000,0A1eewG07D5qnj41J7q9P1
58,Llwybr Llaethog,3RoyMb5sD9K3r5JyCXdwfN,hip-hop,track,Yo!,2000,1y7mAQkiv6dUmp09LvWasE
59,Offwhyte,3bzWyQq8VdNyjCzA6O7CLo,hip-hop,track,Beyond Comp (featuring Cosmo Galactus),2000,2ELPkzIBcBhnpznKYtSciM
60,Too $hort,4sb7rZNN93BSS6Gqgepo4v,hip-hop,track,Don't Hate the Player,2000,0xtf3ZuzJpCtqHoFBt9fYh
61,Lyrikal,35KCSzO0sDCLggvo39D9ng,hip-hop,track,That Fire,2000,2jIOMac5B9LLHmladw2kVy
62,Mr. Sche,2InAixh0wal3ODxRg678gV,hip-hop,track,Listen,2000,1gNQ8OttZLOsOUgfYXhXnO
63,Honey Family,0Wv8nB1Ld3I7SdxKeHkxmX,hip-hop,track,아버지와 아들,2000,530qxjSzSSIiScpXclvNr3
64,Llwybr Llaethog,3RoyMb5sD9K3r5JyCXdwfN,hip-hop,track,Tour de France,2000,2EQH9kerOeDJSlRchojSLP
65,DJ Bomberjack,0Na7Qy0OzLwdeK6vGxPO3G,hip-hop,track,Prodigo Mc,2000,4lpBThe6fidaSt3uskoHcV
